"","X","id.exposure","id.outcome","outcome","exposure","method","nsnp","b","se","pval","tissue","lo_ci","up_ci","or","or_lci95","or_uci95","exposure_tissue"
"60",60,"YQmxQZ","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","HLA-DRB1","Wald ratio",1,0.0820531617585556,0.0180400568405335,5.40586322360619e-06,"Adult Cortex",0.04669465035111,0.117411673166001,1.0855135161031,1.04780201424983,1.12458229476315,"HLA-DRB1-Adult Cortex"
"61",61,"zyCR3o","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","GALNT6","Wald ratio",1,-0.0919771446721081,0.0207334570723697,9.15734499050862e-06,"Adult Cortex",-0.132614720533953,-0.0513395688102635,0.912125996245583,0.875802455817483,0.949956040315535,"GALNT6-Adult Cortex"
"62",62,"0iHrGY","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CSTF1","Wald ratio",1,0.489362695997738,0.0928435154462112,1.35805746880934e-07,"Skin - Exposed",0.307389405723164,0.671335986272312,1.63127626971287,1.35987040630113,1.95684989966542,"CSTF1-Skin - Exposed"
"63",63,"1Gxxbi","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-455F5.3","Wald ratio",1,-0.138213669077825,0.0247998268367213,2.50144203242141e-08,"Skin - Exposed",-0.186821329677799,-0.0896060084778513,0.870912584774999,0.829591946605021,0.914291337353827,"RP11-455F5.3-Skin - Exposed"
"64",64,"2ymbcn","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZNF646","Wald ratio",1,-0.164392617962136,0.0358291603250809,4.47008647835926e-06,"Skin - Exposed",-0.234617772199295,-0.0941674637249774,0.848408855924946,0.790873085543696,0.910130335661937,"ZNF646-Skin - Exposed"
"65",65,"5vOsAK","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","FCER1G","Wald ratio",1,-0.265809910670545,0.046529109130412,1.11154503877662e-08,"Skin - Exposed",-0.357006964566152,-0.174612856774937,0.766584833248949,0.69976762413973,0.839782073784506,"FCER1G-Skin - Exposed"
"66",66,"7Uqp3C","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","GAL3ST4","Wald ratio",1,0.415040170814898,0.0673712501723581,7.25184421717562e-10,"Skin - Exposed",0.282992520477076,0.54708782115272,1.51443157542064,1.3270952357408,1.7282128176361,"GAL3ST4-Skin - Exposed"
"67",67,"8H3C8z","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","EARS2","Wald ratio",1,-0.192029686541693,0.0409016299854148,2.66717275073627e-06,"Skin - Exposed",-0.272196881313106,-0.11186249177028,0.825282368348585,0.761704280987143,0.894167204396409,"EARS2-Skin - Exposed"
"68",68,"Aclzhd","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","MS4A2","Wald ratio",1,-0.409076068626139,0.0526597137006961,7.95510762735634e-15,"Skin - Exposed",-0.512289107479503,-0.305863029772775,0.664263700773197,0.599122551993934,0.736487489406625,"MS4A2-Skin - Exposed"
"69",69,"AjliXX","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ADGRF2","Wald ratio",1,0.341974006341639,0.0596994470273828,1.01465452717589e-08,"Skin - Exposed",0.224963090167969,0.458984922515309,1.40772370514946,1.25227649402379,1.58246684298306,"ADGRF2-Skin - Exposed"
"70",70,"AR2xHD","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","PVR","Wald ratio",1,-0.111134993962512,0.0234971130092168,2.24818927471662e-06,"Skin - Exposed",-0.157189335460577,-0.0650806524644471,0.894817945755141,0.854542248349765,0.936991889624775,"PVR-Skin - Exposed"
"71",71,"bKa0hx","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","MAPK8IP1P1","Wald ratio",1,-0.0477534601723118,0.00850879835797557,1.99718511950819e-08,"Skin - Exposed",-0.0644307049539439,-0.0310762153906797,0.95336880148615,0.937601083121251,0.969401686932136,"MAPK8IP1P1-Skin - Exposed"
"72",72,"bnGhLK","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LACTB","Wald ratio",1,0.327334523080892,0.0664391853778048,8.35747201168835e-07,"Skin - Exposed",0.197113719740395,0.457555326421389,1.38726547188718,1.21788253011643,1.5802061708746,"LACTB-Skin - Exposed"
"73",73,"bZVEqx","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","NDUFS2","Wald ratio",1,-0.302875720104975,0.0567891975196828,9.64260673022821e-08,"Skin - Exposed",-0.414182547243553,-0.191568892966397,0.738690895092895,0.660880298377034,0.825662740791584,"NDUFS2-Skin - Exposed"
"74",74,"cBP3Ts","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","ZKSCAN3","Wald ratio",1,-0.138286618348788,0.0289113081182605,1.72584252788809e-06,"Skin - Exposed",-0.194952782260579,-0.0816204544369974,0.870849054654133,0.822873511365765,0.921621689745826,"ZKSCAN3-Skin - Exposed"
"75",75,"ccSQ4g","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RNF167","Wald ratio",1,0.703937411075541,0.142013498025399,7.1650947458044e-07,"Skin - Exposed",0.425590954945759,0.982283867205323,2.02169731000338,1.53049460582719,2.67054846042128,"RNF167-Skin - Exposed"
"76",76,"cSxlNb","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","CNN2","Wald ratio",1,-0.257805176878129,0.0520616279520883,7.34836532174352e-07,"Skin - Exposed",-0.359845967664222,-0.155764386092036,0.772745766185273,0.697783799062098,0.855760795764941,"CNN2-Skin - Exposed"
"77",77,"CsZS4Q","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","HLA-DQA2","Wald ratio",1,-0.143335083634921,0.0264038311959065,5.68069106565156e-08,"Skin - Exposed",-0.195086592778898,-0.0915835744909443,0.866463682446092,0.822763409601249,0.912485052491451,"HLA-DQA2-Skin - Exposed"
"78",78,"deL0et","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","HLA-DRB6","Wald ratio",1,-0.0415661867465159,0.00902290395229248,4.0902781728531e-06,"Skin - Exposed",-0.0592510784930092,-0.0238812950000226,0.959285841231451,0.942470105473974,0.976401606631697,"HLA-DRB6-Skin - Exposed"
"79",79,"drTDhp","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","WDR81","Wald ratio",1,-0.471038168122542,0.100220886834583,2.60161490783456e-06,"Skin - Exposed",-0.667471106318325,-0.274605229926759,0.624353747546278,0.513004272021718,0.75987203876263,"WDR81-Skin - Exposed"
"80",80,"dxcVRe","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","MADD","Wald ratio",1,-0.462419660555307,0.0783438267882958,3.58166513164928e-09,"Skin - Exposed",-0.615973561060367,-0.308865760050247,0.629757999887303,0.540114804518309,0.73427933303134,"MADD-Skin - Exposed"
"81",81,"f3TKOg","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","LRRC37A4P","Wald ratio",1,0.0438308021872066,0.00810456342329481,6.36743678633965e-08,"Skin - Exposed",0.0279458578775488,0.0597157464968644,1.04480556111657,1.02834000640363,1.06153475868141,"LRRC37A4P-Skin - Exposed"
"82",82,"HnTUpC","ebi-a-GCST90027158","Alzheimer's disease || id:ebi-a-GCST90027158","RP11-385F7.1","Wald ratio",1,-0.175120638817711,0.025456834077335,6.02230436511397e-12,"Skin - Exposed",-0.225016033609288,-0.125225244026134,0.83935575577507,0.798503415764955,0.882298147814209,"RP11-385F7.1-Skin - Exposed"
